seed,fold,finding,subset,k,certified
0,2,Silent micro-hemorrhage of brain,SWIax,1,True
0,2,Cavernous hemangioma,SWIax,1,True
0,2,Subdural intracranial hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Gliosis,T2ax+FLAIRsag,2,True
0,2,Cerebral atrophy,FLAIRax,1,True
0,2,Encephalomalacia,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Arachnoid cyst,T1ax+FLAIRax+FLAIRsag,3,True
0,2,Empty sella syndrome,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Intracranial aneurysm,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Chiari malformation,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Schwannoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Cyst of pineal gland,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Hemangioma of vertebral column,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Cerebral edema,FLAIRax+SWIax,2,True
0,2,Spinal stenosis,T1ax,1,True
0,2,Mastoiditis,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
0,2,Chronic mastoiditis,T1ax+T2ax+FLAIRax+FLAIRsag,4,True
0,2,Ventriculomegaly,FLAIRax+FLAIRsag+SWIax,3,True
0,2,Cerebellar degeneration,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Mega cisterna magna,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Structure of cave of septum pellucidum,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Hyperostosis of skull,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Watershed infarct,T1ax+T2ax,2,True
0,2,Foraminal Spinal Stenosis,T1ax+SWIax,2,True
0,2,Lipoma of brain,T1ax+T2ax+FLAIRsag+SWIax,4,True
0,2,Glioma,FLAIRax+SWIax,2,True
0,2,Pituitary adenoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,3,Cerebral infarction,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
0,3,Cerebral hemorrhage,T1ax+FLAIRsag+SWIax,3,True
0,3,Metastatic malignant neoplasm to brain,T1ax+FLAIRax+FLAIRsag+SWIax,4,True
0,3,Intracranial meningioma,T1ax+SWIax,2,True
0,3,Demyelinating disease of central nervous system,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,3,Herniation of nucleus pulposus,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,3,Spinal cord compression,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,3,Lacunar infarct,T1ax+FLAIRax+FLAIRsag+SWIax,4,True
0,3,Silent micro-hemorrhage of brain,T1ax+FLAIRsag+SWIax,3,True
0,3,Cavernous hemangioma,SWIax,1,True
0,3,Subdural intracranial hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,3,Gliosis,FLAIRax+FLAIRsag+SWIax,3,True
0,3,Cerebral atrophy,T2ax+FLAIRsag,2,True
0,3,Encephalomalacia,FLAIRax+FLAIRsag,2,True
0,3,Arachnoid cyst,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,3,Empty sella syndrome,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,3,Intracranial aneurysm,T2ax,1,True
0,3,Chiari malformation,T1ax+T2ax+FLAIRsag,3,True
0,3,Schwannoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,3,Cyst of pineal gland,FLAIRax+SWIax,2,True
0,3,Hemangioma of vertebral column,T1ax+T2ax+FLAIRsag+SWIax,4,True
0,3,Cerebral edema,T1ax+FLAIRax,2,True
0,3,Spinal stenosis,T1ax+FLAIRsag+SWIax,3,True
0,3,Mastoiditis,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,3,Chronic mastoiditis,T1ax+T2ax+FLAIRax,3,True
0,3,Ventriculomegaly,FLAIRax+FLAIRsag+SWIax,3,True
0,3,Cerebellar degeneration,T1ax+T2ax+FLAIRsag,3,True
0,3,Mega cisterna magna,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,3,Structure of cave of septum pellucidum,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,3,Hyperostosis of skull,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,3,Watershed infarct,T2ax,1,True
0,3,Foraminal Spinal Stenosis,T1ax+FLAIRax+FLAIRsag,3,True
0,3,Lipoma of brain,T1ax+SWIax,2,True
0,3,Glioma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,3,Pituitary adenoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,4,Cerebral infarction,T2ax+FLAIRax+FLAIRsag,3,True
0,4,Cerebral hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,4,Metastatic malignant neoplasm to brain,FLAIRax+FLAIRsag+SWIax,3,True
0,4,Intracranial meningioma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,4,Demyelinating disease of central nervous system,T1ax+T2ax+FLAIRax,3,True
0,4,Herniation of nucleus pulposus,FLAIRsag,1,True
0,4,Spinal cord compression,T1ax+T2ax+SWIax,3,True
0,4,Lacunar infarct,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,4,Silent micro-hemorrhage of brain,T1ax+FLAIRax+SWIax,3,True
0,4,Cavernous hemangioma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,4,Subdural intracranial hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,4,Gliosis,FLAIRax+FLAIRsag,2,True
0,4,Cerebral atrophy,FLAIRsag,1,True
0,4,Encephalomalacia,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
0,4,Arachnoid cyst,T1ax+T2ax+FLAIRax+FLAIRsag,4,True
0,4,Empty sella syndrome,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,4,Intracranial aneurysm,FLAIRsag,1,True
0,4,Chiari malformation,T2ax,1,True
0,4,Schwannoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,4,Cyst of pineal gland,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,4,Hemangioma of vertebral column,T1ax+T2ax+FLAIRsag+SWIax,4,True
0,4,Cerebral edema,FLAIRax,1,True
0,4,Spinal stenosis,T1ax,1,True
0,4,Mastoiditis,T2ax+FLAIRax,2,True
0,4,Chronic mastoiditis,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,4,Ventriculomegaly,T1ax+FLAIRax+FLAIRsag+SWIax,4,True
0,4,Cerebellar degeneration,T1ax+T2ax,2,True
0,4,Mega cisterna magna,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,4,Structure of cave of septum pellucidum,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,4,Hyperostosis of skull,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,4,Watershed infarct,T1ax+T2ax+FLAIRax+FLAIRsag,4,True
0,4,Foraminal Spinal Stenosis,T2ax+FLAIRsag,2,True
0,4,Lipoma of brain,T1ax+FLAIRax,2,True
0,4,Glioma,FLAIRax+FLAIRsag+SWIax,3,True
0,4,Pituitary adenoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Cerebral infarction,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
1,0,Cerebral hemorrhage,T1ax+FLAIRax+FLAIRsag+SWIax,4,True
1,0,Metastatic malignant neoplasm to brain,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
1,0,Intracranial meningioma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Demyelinating disease of central nervous system,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Herniation of nucleus pulposus,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Spinal cord compression,FLAIRsag+SWIax,2,True
1,0,Lacunar infarct,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Silent micro-hemorrhage of brain,T1ax+FLAIRax+FLAIRsag+SWIax,4,True
1,0,Cavernous hemangioma,SWIax,1,True
1,0,Subdural intracranial hemorrhage,FLAIRax+FLAIRsag+SWIax,3,True
1,0,Gliosis,T2ax+FLAIRax+FLAIRsag,3,True
1,0,Cerebral atrophy,T2ax+FLAIRax,2,True
1,0,Encephalomalacia,T1ax+T2ax+FLAIRsag+SWIax,4,True
1,0,Arachnoid cyst,T1ax+FLAIRax,2,True
1,0,Empty sella syndrome,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Intracranial aneurysm,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Chiari malformation,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Schwannoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Cyst of pineal gland,T2ax+FLAIRsag,2,True
1,0,Hemangioma of vertebral column,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Cerebral edema,FLAIRax,1,True
1,0,Spinal stenosis,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Mastoiditis,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Chronic mastoiditis,T2ax,1,True
1,0,Ventriculomegaly,T1ax+FLAIRax+FLAIRsag+SWIax,4,True
1,0,Cerebellar degeneration,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Mega cisterna magna,T2ax,1,True
1,0,Structure of cave of septum pellucidum,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,0,Hyperostosis of skull,T2ax+SWIax,2,True
1,0,Watershed infarct,T1ax+T2ax+FLAIRax+FLAIRsag,4,True
1,0,Foraminal Spinal Stenosis,T1ax+FLAIRax+FLAIRsag,3,True
1,0,Lipoma of brain,T1ax+FLAIRsag+SWIax,3,True
1,0,Glioma,T1ax+T2ax+FLAIRax+SWIax,4,True
1,0,Pituitary adenoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Cerebral infarction,T1ax+T2ax+FLAIRsag+SWIax,4,True
1,1,Cerebral hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Metastatic malignant neoplasm to brain,FLAIRax+FLAIRsag,2,True
1,1,Intracranial meningioma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Demyelinating disease of central nervous system,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Herniation of nucleus pulposus,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Spinal cord compression,T1ax+FLAIRsag+SWIax,3,True
1,1,Lacunar infarct,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Silent micro-hemorrhage of brain,T2ax+FLAIRax+SWIax,3,True
1,1,Cavernous hemangioma,T1ax+T2ax+FLAIRsag+SWIax,4,True
1,1,Subdural intracranial hemorrhage,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
1,1,Gliosis,FLAIRax+FLAIRsag,2,True
1,1,Cerebral atrophy,FLAIRax+FLAIRsag,2,True
1,1,Encephalomalacia,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Arachnoid cyst,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Empty sella syndrome,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Intracranial aneurysm,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Chiari malformation,T2ax,1,True
1,1,Schwannoma,T2ax+FLAIRax+FLAIRsag,3,True
1,1,Cyst of pineal gland,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Hemangioma of vertebral column,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Cerebral edema,FLAIRax,1,True
1,1,Spinal stenosis,FLAIRax+FLAIRsag,2,True
1,1,Mastoiditis,T2ax,1,True
1,1,Chronic mastoiditis,T1ax+T2ax+FLAIRax+SWIax,4,True
1,1,Ventriculomegaly,T1ax+FLAIRax,2,True
1,1,Cerebellar degeneration,T1ax+T2ax+FLAIRax+FLAIRsag,4,True
1,1,Mega cisterna magna,T2ax+FLAIRax+FLAIRsag,3,True
1,1,Structure of cave of septum pellucidum,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Hyperostosis of skull,FLAIRsag,1,True
1,1,Watershed infarct,T2ax+FLAIRax+FLAIRsag,3,True
1,1,Foraminal Spinal Stenosis,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Lipoma of brain,T1ax+SWIax,2,True
1,1,Glioma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,1,Pituitary adenoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Cerebral infarction,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Cerebral hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Metastatic malignant neoplasm to brain,FLAIRax+FLAIRsag+SWIax,3,True
1,2,Intracranial meningioma,T1ax+T2ax+FLAIRax+FLAIRsag,4,True
1,2,Demyelinating disease of central nervous system,T1ax+T2ax+FLAIRax,3,True
1,2,Herniation of nucleus pulposus,T1ax+FLAIRsag,2,True
1,2,Spinal cord compression,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Lacunar infarct,T1ax+T2ax+FLAIRax,3,True
1,2,Silent micro-hemorrhage of brain,T1ax+FLAIRax+SWIax,3,True
1,2,Cavernous hemangioma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Subdural intracranial hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Gliosis,T2ax+FLAIRax+SWIax,3,True
1,2,Cerebral atrophy,FLAIRax,1,True
1,2,Encephalomalacia,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Arachnoid cyst,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Empty sella syndrome,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Intracranial aneurysm,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Chiari malformation,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Schwannoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Cyst of pineal gland,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Hemangioma of vertebral column,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Cerebral edema,FLAIRax,1,True
1,2,Spinal stenosis,T1ax+T2ax+FLAIRax,3,True
1,2,Mastoiditis,T2ax+FLAIRax+FLAIRsag,3,True
1,2,Chronic mastoiditis,T1ax+FLAIRax+SWIax,3,True
1,2,Ventriculomegaly,T1ax+T2ax+FLAIRax+FLAIRsag,4,True
1,2,Cerebellar degeneration,T2ax,1,True
1,2,Mega cisterna magna,T2ax+SWIax,2,True
1,2,Structure of cave of septum pellucidum,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Hyperostosis of skull,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Watershed infarct,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Foraminal Spinal Stenosis,T1ax+FLAIRsag,2,True
1,2,Lipoma of brain,T1ax+T2ax,2,True
1,2,Glioma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,2,Pituitary adenoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Cerebral infarction,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Cerebral hemorrhage,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
1,3,Metastatic malignant neoplasm to brain,FLAIRax+FLAIRsag,2,True
1,3,Intracranial meningioma,FLAIRax,1,True
1,3,Demyelinating disease of central nervous system,T1ax+T2ax+FLAIRax,3,True
1,3,Herniation of nucleus pulposus,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Spinal cord compression,T1ax+SWIax,2,True
1,3,Lacunar infarct,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Silent micro-hemorrhage of brain,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Cavernous hemangioma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Subdural intracranial hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Gliosis,T2ax+FLAIRax+SWIax,3,True
1,3,Cerebral atrophy,FLAIRax+FLAIRsag,2,True
1,3,Encephalomalacia,T1ax+T2ax+FLAIRax,3,True
1,3,Arachnoid cyst,T1ax+T2ax+FLAIRax+FLAIRsag,4,True
1,3,Empty sella syndrome,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Intracranial aneurysm,T1ax+T2ax,2,True
1,3,Chiari malformation,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Schwannoma,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
1,3,Cyst of pineal gland,T1ax+T2ax+FLAIRsag,3,True
1,3,Hemangioma of vertebral column,T1ax+SWIax,2,True
1,3,Cerebral edema,T1ax+FLAIRax+FLAIRsag,3,True
1,3,Spinal stenosis,T2ax+FLAIRsag+SWIax,3,True
1,3,Mastoiditis,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Chronic mastoiditis,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Ventriculomegaly,T1ax+FLAIRax+FLAIRsag,3,True
1,3,Cerebellar degeneration,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Mega cisterna magna,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Structure of cave of septum pellucidum,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Hyperostosis of skull,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,3,Watershed infarct,T1ax+FLAIRsag,2,True
1,3,Foraminal Spinal Stenosis,T1ax+FLAIRax+FLAIRsag,3,True
1,3,Lipoma of brain,T1ax+T2ax,2,True
1,3,Glioma,FLAIRax+SWIax,2,True
1,3,Pituitary adenoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Cerebral infarction,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Cerebral hemorrhage,FLAIRax+SWIax,2,True
1,4,Metastatic malignant neoplasm to brain,FLAIRax+FLAIRsag+SWIax,3,True
1,4,Intracranial meningioma,T1ax+T2ax+FLAIRax,3,True
1,4,Demyelinating disease of central nervous system,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Herniation of nucleus pulposus,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Spinal cord compression,FLAIRsag+SWIax,2,True
1,4,Lacunar infarct,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Silent micro-hemorrhage of brain,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Cavernous hemangioma,SWIax,1,True
1,4,Subdural intracranial hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Gliosis,T2ax+FLAIRax+SWIax,3,True
1,4,Cerebral atrophy,T2ax+FLAIRsag,2,True
1,4,Encephalomalacia,T2ax+FLAIRsag+SWIax,3,True
1,4,Arachnoid cyst,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Empty sella syndrome,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Intracranial aneurysm,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Chiari malformation,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Schwannoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Cyst of pineal gland,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Hemangioma of vertebral column,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Cerebral edema,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
1,4,Spinal stenosis,T1ax+FLAIRsag+SWIax,3,True
1,4,Mastoiditis,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
1,4,Chronic mastoiditis,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
1,4,Ventriculomegaly,T1ax+T2ax+FLAIRsag+SWIax,4,True
